공항명,행정구역,위도(WGS84좌표),경도(WGS84좌표)
김포,서울특별시 강서구 하늘길 76,37.558056,126.790556
김해,부산광역시 강서구 공항진입로 108번지,35.179444,128.938056
제주,제주 제주시 공항로 2,33.511111,126.492778
대구,대구광역시 동구 공항로 221,35.893889,128.658889
울산,울산광역시 북구 산업로 1103,35.593333,129.351667
청주,충청북도 청주시 내수읍 오창대로 980,36.716389,127.498889
양양,강원도 양양군 손양면 공항로 201,38.061111,128.668889
무안,전라남도 무안군 망운면 공항로 970-260,34.991406,126.382814
광주,광주광역시 광산구 상무대로 420-25,35.126389,126.808889
여수,전라남도 여수시 율촌면 여순로 386,34.842222,127.616667
사천,경상남도 사천시 사천읍 사천대로 1971,35.088611,128.070278
포항,경상북도 포항시 남구 동해면 일월로 18,35.987858,129.420486
군산,전라북도 군산시 옥서면 산동길 2,35.903756,126.615906
원주,강원도 횡성군 횡성읍 횡성로 38 ,37.438056,127.960278
